max_depth,min_samples_split,min_samples_leaf,class_weight_factor,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
5,60,30,1.0,0.8634829360967272,0.04113527194056197,0.9681732164067394,0.018586914101764912,0.9118344997393946,0.014212513905706454
5,60,30,1.2,0.8300033885432737,0.05500745045807764,0.972678617650398,0.012887162661586677,0.8943065991484954,0.027963534576791862
5,60,30,1.5,0.8392494504418314,0.022157728028013062,0.9849940643745209,0.008391795090828108,0.9060389760935329,0.009912848204525265
5,60,30,2.0,0.8525653612992494,0.03431640887500851,0.9848038676697328,0.011637973622309618,0.9134163818646504,0.01808564522702954
5,60,40,0.8,0.8797871173944798,0.033270089345172414,0.9523927003981525,0.01545117100230129,0.9139943729882268,0.011646688018982072
5,60,40,1.0,0.8889773614021831,0.020287261042904268,0.9390538765879373,0.023022618799481382,0.9129144251970261,0.009259430111047287
5,60,40,1.2,0.8432245412032652,0.01341962849301437,0.9714682781787709,0.011734666537399708,0.90266297536717,0.005465863142838923
5,60,40,1.5,0.8689681853833986,0.020205197259721374,0.9769745619159734,0.012333108333531793,0.9195210472022196,0.005923602338316376
5,60,40,2.0,0.8785928389623976,0.049418457916926284,0.9813516673697307,0.006272557160420344,0.9262415647416796,0.02592138102844175
5,80,20,0.8,0.9042659490529301,0.02801263852894685,0.9274937914279068,0.012940433360221703,0.9154894818328437,0.016514615324997303
5,80,20,1.0,0.9106040174309308,0.030892607225531384,0.9290233068026935,0.027892923453939216,0.9188491722082753,0.008268606723561871
5,80,20,1.2,0.7997079136809325,0.005939925086299947,0.9836464744936836,0.004847307425553607,0.8821655494817087,0.0030480234701785085
5,80,20,1.5,0.8150111254741673,0.02367821993136803,0.9884488659257866,0.007405424589069149,0.8931174323162839,0.01182677600004132
5,80,20,2.0,0.8224590651737113,0.02562501239517977,0.9930832338853457,0.0029270689054487083,0.8995187360495133,0.015094176358866654
5,80,25,0.8,0.8701447017452271,0.004443890509003776,0.9506456865156938,0.01263462817627189,0.9085454437848072,0.0040967807502922445
5,80,25,1.0,0.8427065156625607,0.03252151036541201,0.9565568982044551,0.011004732992642317,0.8956498538674156,0.01896648266242621
5,80,25,1.2,0.8270965707465151,0.030330597430816664,0.9795311105297001,0.0026411906182423448,0.8965662615161355,0.017693183781940177
5,80,25,1.5,0.8512455690501465,0.022235815969597082,0.9782254556333094,0.009406473220592402,0.9100561454398153,0.009267009298653244
5,80,25,2.0,0.8398445470156682,0.020632900664086472,0.9801650290207272,0.0026424453571758577,0.9044856855497071,0.013126943115195078
5,80,30,0.8,0.8651105600202936,0.026271383775034712,0.9509601226034827,0.003557896059744822,0.9057564268633893,0.013130998296971959
5,80,30,1.0,0.8469765348791611,0.05022982890844562,0.9531375684959326,0.0184567862583365,0.8955720580539085,0.02183720532254826
5,80,30,1.2,0.8536290618048668,0.01625520571195513,0.9750906923903969,0.0034563992895968107,0.9102163511849195,0.007992701785441208
5,80,30,1.5,0.8628403101531013,0.02776007744022906,0.9727251301817935,0.010620804973732611,0.9141093238325206,0.012098984054699996
5,80,30,2.0,0.8491717462732039,0.06326124642076918,0.9813181296713553,0.012821792243127142,0.9088146305600023,0.03169766438435725
5,80,40,0.8,0.8908581036761832,0.026290824986129994,0.9270212387008302,0.015014629319066207,0.9083335494869885,0.015597028800247395
5,80,40,1.0,0.9070787461171378,0.033433106040697554,0.9326064047252857,0.006748591806133223,0.9192365974664357,0.014614661285933759
5,80,40,1.2,0.8710351100486652,0.035582499353688034,0.9639748421780449,0.02342524812657658,0.9141970572020451,0.010198018201124747
5,80,40,1.5,0.8336853125989042,0.02233112755420956,0.983379115919596,0.0020227475499684914,0.9022089033979598,0.013113551465989215
5,80,40,2.0,0.822701532340736,0.031503003742569306,0.9897134155083207,0.004976202406673176,0.8980949349964478,0.017168617764041116
6,40,20,0.8,0.8258512903139997,0.03933372853568539,0.9478542828057375,0.008495327854526443,0.8820148918810062,0.01962451521267666
6,40,20,1.0,0.8513890586421109,0.03812669286142546,0.9708464759307448,0.003468095583868476,0.9068186100686435,0.02315223356530079
