max_bins,interactions,greedy_ratio,smoothing_rounds,min_samples_leaf,max_leaves,outer_bags,learning_rate,random_state,threshold,train_precision,train_recall,train_fbeta,train_auc,test_precision,test_recall,test_fbeta,test_auc,train_time_sec
256,20,0.0,0,2,3,8,0.01,42,0.7,0.9361773738903614,0.9010001214722436,0.9271280363318195,0.9027047955528731,0.8984533333333333,0.8854199516451172,0.895159147669908,0.8888427965991244,118.52812910079956
256,20,0.0,0,2,3,8,0.01,42,0.8,0.9549860205032619,0.8298173867271329,0.920282452260404,0.9027047955528731,0.9226268656716418,0.81225691159466,0.8923147987759108,0.8888427965991244,118.52812910079956
256,20,0.0,0,2,4,8,0.01,42,0.3,0.8684173222765611,0.9922257764100902,0.8963795484266263,0.9045690653997235,0.813159259899706,0.988647114474929,0.8509194544344167,0.8883857475548925,115.54814767837524
256,20,0.0,0,2,4,8,0.01,42,0.4,0.8829535956975181,0.9838441916022189,0.9061853170977308,0.9045690653997235,0.8308889286353067,0.9766635130873541,0.8630948233818714,0.8883857475548925,115.54814767837524
256,20,0.0,0,2,4,8,0.01,42,0.5,0.8988245014459008,0.9690650686318176,0.9154124194381228,0.9045690653997235,0.8522875816993464,0.9595290654893304,0.8767860144562111,0.8883857475548925,115.54814767837524
256,20,0.0,0,2,4,8,0.01,42,0.6,0.9167323144792815,0.9423816657893671,0.9230128592815857,0.9045690653997235,0.8747166091670774,0.9328287606433302,0.8885551216581556,0.8883857475548925,115.54814767837524
256,20,0.0,0,2,4,8,0.01,42,0.7,0.9366641433257633,0.9018099364295259,0.9277004300694568,0.9045690653997235,0.8964050202084662,0.8859455481972038,0.8937670669954133,0.8883857475548925,115.54814767837524
256,20,0.0,0,2,4,8,0.01,42,0.8,0.9552697791445345,0.8301413127100458,0.9205796841148143,0.9045690653997235,0.9217018233821952,0.8129927467675812,0.8918872167445079,0.8883857475548925,115.54814767837524
256,20,0.0,0,2,5,8,0.01,42,0.3,0.8686682499734146,0.9922662671579544,0.8965883106192263,0.9061388236366896,0.8136780217879993,0.989277830337433,0.8514623057610097,0.8880031552864344,114.42312574386597
256,20,0.0,0,2,5,8,0.01,42,0.4,0.883392097706372,0.9840466453415394,0.9065746526158726,0.9061388236366896,0.8307114765820522,0.9769788710186061,0.8630127446200989,0.8880031552864344,114.42312574386597
256,20,0.0,0,2,5,8,0.01,42,0.5,0.8995679128311103,0.9694294853625947,0.9160720093359608,0.9061388236366896,0.8516339869281045,0.9587932303164092,0.8761136325432844,0.8880031552864344,114.42312574386597
256,20,0.0,0,2,5,8,0.01,42,0.6,0.917739712541839,0.9436773697210188,0.9240895303423803,0.9061388236366896,0.8746551044540796,0.9330389992641648,0.8885551968365993,0.8880031552864344,114.42312574386597
256,20,0.0,0,2,5,8,0.01,42,0.7,0.9374395220665572,0.902214843908167,0.9283779842506562,0.9061388236366896,0.8959285638354417,0.8859455481972038,0.8934117771770815,0.8880031552864344,114.42312574386597
256,20,0.0,0,2,5,8,0.01,42,0.8,0.955962533202852,0.8306272016844151,0.9212115768911243,0.9061388236366896,0.9213282551773387,0.8137285819405025,0.8918459633053947,0.8880031552864344,114.42312574386597
256,20,10.0,0,2,3,8,0.01,42,0.3,0.867575221238938,0.9923877394015468,0.895739490346926,0.9025549805855141,0.8121818652402726,0.9895931882686849,0.8502912884433004,0.8893171138373848,129.0299515724182
256,20,10.0,0,2,3,8,0.01,42,0.4,0.8821306591090764,0.9830343766449366,0.9053634524486543,0.9025549805855141,0.8323642544055819,0.9781351834331967,0.8645760743321719,0.8893171138373848,129.0299515724182
256,20,10.0,0,2,3,8,0.01,42,0.5,0.8981923409372768,0.9677288739523019,0.9146224790478742,0.9025549805855141,0.852608979744236,0.9601597813518343,0.8771727648132142,0.8893171138373848,129.0299515724182
256,20,10.0,0,2,3,8,0.01,42,0.6,0.9157658897055934,0.9433534437381058,0.92251039398139,0.9025549805855141,0.8758382642998027,0.9335645958162514,0.8895900633561215,0.8893171138373848,129.0299515724182
256,20,10.0,0,2,3,8,0.01,42,0.7,0.9358403361344538,0.90185042717739,0.9271049044194928,0.9025549805855141,0.8976076555023923,0.8874172185430463,0.8950381679389313,0.8893171138373848,129.0299515724182
256,20,10.0,0,2,3,8,0.01,42,0.8,0.955254458257671,0.8307081831801434,0.9207432007898751,0.9025549805855141,0.9206123175507298,0.815515610217597,0.8918779099844801,0.8893171138373848,129.0299515724182
256,20,10.0,0,2,4,8,0.01,42,0.3,0.8680762147612976,0.992468720897275,0.8961564827932911,0.9046204245904766,0.8136237897648686,0.9893829496478503,0.8514372300246511,0.8890146906370211,127.37033438682556
256,20,10.0,0,2,4,8,0.01,42,0.4,0.8830649558358474,0.9836822286107625,0.9062389256737854,0.9046204245904766,0.8319914117015567,0.9776095868811101,0.8641717192835737,0.8890146906370211,127.37033438682556
256,20,10.0,0,2,4,8,0.01,42,0.5,0.899015703659178,0.9689435963882252,0.9155340455854082,0.9046204245904766,0.8521527972354535,0.9591085882476611,0.8765912475380697,0.8890146906370211,127.37033438682556
256,20,10.0,0,2,4,8,0.01,42,0.6,0.9171192443919717,0.9435963882252906,0.9235982442755657,0.9046204245904766,0.8753697495563005,0.9332492378849995,0.889155962843336,0.8890146906370211,127.37033438682556
256,20,10.0,0,2,4,8,0.01,42,0.7,0.9373763730482724,0.90185042717739,0.9282350489685351,0.9046204245904766,0.8975148683092609,0.8883632923368022,0.8952093429729086,0.8890146906370211,127.37033438682556
256,20,10.0,0,2,4,8,0.01,42,0.8,0.9561509785647717,0.8308296554237357,0.9214050765068423,0.9046204245904766,0.9213776722090261,0.815515610217597,0.8924165300664308,0.8890146906370211,127.37033438682556
